EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP,High_MSRP
2.4,4.0,200,22,29,3230,105,183,26990.0,0
2.4,4.0,150,22,30,3173,108,191,19090.0,0
2.2,4.0,140,26,37,2617,104,183,14610.0,0
5.4,8.0,300,13,18,5969,119,206,52775.0,1
2.0,4.0,110,27,36,2606,103,168,13730.0,0
3.5,6.0,232,19,27,3548,113,208,26860.0,0
6.0,8.0,325,13,17,6133,130,219,46265.0,1
3.8,6.0,200,20,30,3484,111,198,24295.0,0
1.8,4.0,142,23,28,2387,89,156,25193.0,0
2.4,4.0,220,21,27,3217,103,169,25955.0,0
5.5,12.0,493,13,19,4473,114,196,128420.0,1
1.6,4.0,103,28,34,2348,98,153,12585.0,0
3.2,6.0,250,21,29,3351,96,159,40590.0,1
3.0,6.0,225,20,30,3472,114,191,44995.0,1
4.3,6.0,190,16,20,4309,111,190,25640.0,0
2.0,4.0,130,26,33,2612,103,168,13270.0,0
3.0,6.0,232,20,26,3681,115,194,32495.0,1
2.4,4.0,150,20,24,3826,104,174,20130.0,0
3.5,6.0,255,19,26,3306,108,194,31145.0,1
1.6,4.0,103,28,34,2370,98,167,11690.0,0
2.3,4.0,250,21,29,3470,106,190,39465.0,1
3.0,6.0,212,19,26,3610,104,184,29345.0,1
1.3,5.807511737089202,238,18,24,3029,106,174,27200.0,0
1.8,4.0,189,22,30,3250,107,178,26060.0,0
2.0,4.0,119,22,30,2756,102,177,15568.0,0
2.5,4.0,175,21,26,3039,110,192,19240.0,0
2.0,4.0,130,26,33,2691,103,168,15580.0,0
4.8,8.0,285,17,20,4548,144,230,25717.0,0
3.4,6.0,185,18,24,4431,121,201,31370.0,1
4.3,6.0,200,15,21,4142,119,206,20310.0,0
2.0,4.0,227,20,27,3085,99,174,25045.0,0
4.7,8.0,235,13,17,5590,112,193,64800.0,1
3.0,6.0,155,19,26,3488,109,198,22595.0,0
2.5,4.0,300,18,24,3263,100,174,31545.0,1
1.8,4.0,142,23,28,2387,89,156,22388.0,0
3.0,6.0,155,20,27,3308,109,200,21595.0,0
2.2,4.0,140,24,33,2771,104,182,17735.0,0
4.5,8.0,340,17,23,3851,110,197,42845.0,1
3.9,8.0,280,17,24,3768,115,194,43495.0,1
2.2,4.0,140,26,35,2751,103,185,16350.0,0
3.0,6.0,210,21,29,3296,107,189,22775.0,0
1.8,4.0,126,28,35,2513,100,178,12740.0,0
4.6,8.0,224,17,25,4057,115,212,24345.0,0
4.4,8.0,325,18,26,3814,114,191,54995.0,1
3.0,6.0,220,18,25,3627,104,179,34480.0,1
2.0,4.0,120,25,31,2656,102,181,14622.0,0
3.5,6.0,280,16,22,4056,112,189,34895.0,1
2.0,4.0,120,25,31,2795,102,181,16722.0,0
2.3,4.0,192,21,29,3055,95,158,40320.0,1
2.4,4.0,150,20,26,3862,113,189,21795.0,0
3.5,6.0,260,18,26,3336,112,187,28495.0,1
5.0,8.0,302,16,24,4085,114,196,94820.0,1
3.5,6.0,240,18,25,4175,124,204,32780.0,1
3.4,6.0,175,20,29,3118,107,186,22450.0,0
2.0,4.0,210,20,28,3175,105,183,33360.0,1
3.7,6.0,215,16,21,4542,121,208,20215.0,0
1.8,4.0,180,24,33,2500,102,171,22570.0,0
3.0,6.0,210,21,28,3296,101,177,26992.0,0
6.0,12.0,420,12,19,5399,118,204,75000.0,1
3.5,6.0,265,20,28,3473,111,194,27490.0,0
3.9,8.0,280,17,24,3768,115,194,40095.0,1
3.0,6.0,210,21,29,3417,107,192,26560.0,0
1.5,4.0,110,59,51,2890,106,175,20510.0,0
3.5,6.0,240,18,25,4365,118,201,27450.0,0
4.6,8.0,231,15,19,4788,126,211,22010.0,0
4.2,8.0,294,18,26,3779,102,187,69995.0,1
3.2,6.0,215,20,26,3450,107,178,37630.0,1
3.0,6.0,232,20,26,3681,115,194,36895.0,1
3.7,6.0,210,16,22,3714,112,193,17630.0,0
4.0,6.0,210,15,20,4463,114,190,29670.0,1
3.0,6.0,220,18,25,3649,110,189,41010.0,1
4.0,8.0,270,18,25,4067,106,184,40235.0,1
3.8,6.0,215,17,21,4134,109,190,30492.0,1
3.0,6.0,155,20,27,3306,109,198,20320.0,0
2.5,4.0,165,22,28,2965,99,174,19945.0,0
2.0,4.0,132,29,36,2626,105,174,15040.0,0
3.4,6.0,170,20,29,3085,107,187,23675.0,0
3.8,6.0,193,20,29,3290,101,183,18345.0,0
3.5,6.0,287,20,26,3188,104,169,26910.0,0
3.0,6.0,225,21,29,2998,98,161,41045.0,1
3.3,6.0,230,19,27,4165,119,200,28800.0,1
4.2,6.0,275,16,21,4425,113,192,30295.0,1
2.8,4.0,175,18,23,3623,111,192,18760.0,0
2.3,4.0,160,25,31,2762,104,179,17200.0,0
4.5,8.0,315,15,19,4309,112,189,36395.0,1
1.7,4.0,127,32,37,2601,103,175,17750.0,0
3.0,6.0,220,20,27,3561,109,192,36640.0,1
2.5,6.0,184,19,28,3428,114,191,39995.0,1
2.5,6.0,184,20,29,3219,107,176,28495.0,1
1.6,4.0,103,29,33,2339,96,167,11939.0,0
4.8,8.0,285,16,19,5042,116,199,35725.0,1
2.0,4.0,210,21,29,3480,105,182,40670.0,1
2.4,4.0,160,23,30,3351,108,191,19312.0,0
3.3,6.0,225,20,29,3460,107,191,32350.0,1
2.7,6.0,200,21,29,3479,113,208,24130.0,0
3.8,6.0,240,18,28,3536,109,196,28345.0,1
2.0,4.0,130,22,25,3091,103,173,21087.0,0
1.8,4.0,150,24,31,2820,99,161,21055.0,0
4.6,8.0,275,17,20,3790,112,203,35995.0,1
2.7,6.0,172,19,26,3023,100,173,18739.0,0
3.2,6.0,333,16,24,3415,108,177,48195.0,1
3.6,6.0,315,17,24,3240,93,175,84165.0,1
1.6,4.0,104,26,33,2403,95,167,10280.0,0
4.6,8.0,224,17,25,4052,115,212,30895.0,1
3.2,6.0,215,19,26,3430,107,178,28370.0,1
2.5,4.0,165,21,28,3285,104,184,20445.0,0
3.5,6.0,225,18,24,3880,115,197,43755.0,1
2.6,6.0,168,19,25,3360,107,178,33480.0,1
1.5,4.0,108,35,43,2055,93,163,11290.0,0
2.7,6.0,200,21,28,3448,106,194,30950.0,1
4.3,8.0,290,18,25,3990,115,197,55750.0,1
2.3,4.0,155,25,31,2676,98,171,14500.0,0
3.5,6.0,195,16,22,4802,115,194,20615.0,0
2.0,4.0,138,26,34,2635,103,178,13839.0,0
2.4,4.0,150,22,30,3357,106,194,25215.0,0
2.0,4.0,120,25,31,2744,102,181,17232.0,0
4.4,8.0,282,12,16,5379,113,195,72250.0,1
4.6,8.0,320,17,25,3647,106,178,76200.0,1
3.4,6.0,185,19,26,4024,112,187,26545.0,0
3.0,6.0,225,20,30,3285,107,176,35495.0,1
4.3,8.0,275,18,26,4160,122,203,74320.0,1
4.2,8.0,390,16,23,4042,102,187,86995.0,1
1.5,4.0,108,35,43,2035,93,163,10760.0,0
4.4,8.0,325,16,22,4824,111,184,52195.0,1
3.6,6.0,477,17,24,3131,93,175,192465.0,1
4.6,8.0,302,13,18,4834,114,193,42915.0,1
3.2,6.0,349,16,21,3540,107,178,52120.0,1
2.4,4.0,160,21,27,3240,103,179,18892.0,0
3.0,6.0,240,21,30,3294,105,188,26960.0,0
2.5,4.0,165,21,28,3430,104,187,23895.0,0
2.3,4.0,143,24,29,3028,111,188,14385.0,0
6.0,8.0,345,13,17,5879,130,221,52975.0,1
3.9,8.0,280,17,24,3780,107,186,37530.0,1
3.0,6.0,201,19,26,3313,109,198,22735.0,0
1.8,4.0,170,23,30,3638,105,180,35940.0,1
3.4,6.0,185,19,26,3803,112,187,23845.0,0
5.3,8.0,295,14,18,5050,116,197,41465.0,1
3.5,6.0,240,16,21,3871,106,183,27339.0,0
3.0,6.0,220,20,27,3814,105,180,42490.0,1
1.7,4.0,115,32,38,2513,103,175,15850.0,0
4.4,8.0,325,18,26,4464,123,204,73195.0,1
3.3,6.0,230,19,27,4120,119,200,23495.0,0
2.2,4.0,140,26,35,2692,103,185,14300.0,0
4.6,8.0,217,12,16,4576,100,185,39250.0,1
4.6,8.0,224,17,25,4052,115,212,24695.0,0
2.5,6.0,155,20,27,3380,106,188,17262.0,0
2.0,4.0,210,20,28,3175,105,183,30860.0,1
4.6,8.0,239,17,25,4369,118,215,44925.0,1
1.6,4.0,104,25,32,2458,95,167,11155.0,0
3.5,6.0,195,17,25,4021,110,196,26000.0,0
3.0,6.0,210,21,28,3241,101,177,25092.0,0
3.3,6.0,225,20,29,3439,107,193,26510.0,0
5.0,8.0,292,13,14,5423,112,186,76870.0,1
2.5,5.0,208,20,27,3903,107,180,31745.0,1
3.0,6.0,210,21,29,3439,107,192,30920.0,1
1.8,4.0,126,28,35,2581,100,178,14740.0,0
3.0,6.0,182,20,28,3197,107,190,21410.0,0
5.0,8.0,302,16,23,4065,101,179,90520.0,1
4.0,6.0,195,16,21,3790,106,181,27905.0,1
3.0,6.0,240,21,30,3349,108,190,23760.0,0
2.5,6.0,184,20,28,2932,98,161,33895.0,1
2.5,6.0,174,18,21,3577,101,175,25995.0,0
3.0,6.0,227,18,25,3516,107,184,33995.0,1
3.5,6.0,240,19,26,4012,124,204,24780.0,0
3.2,6.0,215,19,27,3450,107,178,38830.0,1
4.7,8.0,230,15,21,4987,119,201,32235.0,1
3.8,6.0,205,20,29,3778,114,207,35545.0,1
2.0,4.0,200,24,31,2778,101,172,23820.0,0
2.0,4.0,115,24,30,3034,99,174,19005.0,0
3.8,6.0,205,20,29,3567,112,200,26470.0,0
4.3,6.0,190,14,17,4605,111,190,26395.0,0
2.4,4.0,138,23,30,3281,106,186,16040.0,0
3.0,6.0,225,20,29,3483,107,176,37245.0,1
3.2,6.0,215,20,26,3770,107,183,45707.0,1
2.5,6.0,165,19,22,3020,98,163,17163.0,0
2.4,4.0,150,22,29,3105,103,169,22000.0,0
2.3,4.0,220,21,29,3470,106,190,35105.0,1
3.8,6.0,205,20,29,3591,112,200,32245.0,1
2.2,4.0,140,26,35,2692,103,185,10995.0,0
5.0,8.0,302,17,22,3585,107,183,52800.0,1
2.0,4.0,148,26,34,2696,104,178,15500.0,0
3.0,6.0,220,18,25,3880,109,192,39640.0,1
3.5,6.0,245,20,25,3801,111,188,28739.0,1
5.3,8.0,300,16,19,4760,116,191,41995.0,1
3.2,6.0,349,17,22,3220,95,158,56170.0,1
6.0,8.0,316,10,12,6400,123,190,49995.0,1
5.7,8.0,340,16,20,3725,110,190,33500.0,1
2.9,6.0,208,20,28,3576,110,190,37730.0,1
4.6,8.0,260,17,25,3347,101,183,29380.0,1
3.5,6.0,245,21,26,3197,110,192,23290.0,0
4.2,8.0,335,16,22,5194,118,204,65000.0,1
3.4,6.0,185,19,26,3779,108,182,21595.0,0
2.3,4.0,160,24,32,3042,105,187,19270.0,0
3.8,6.0,240,18,28,3909,114,207,40720.0,1
2.5,4.0,165,21,28,3090,99,175,21445.0,0
3.8,6.0,200,20,30,3461,109,196,24895.0,0
2.7,6.0,170,19,27,3217,106,187,19339.0,0
2.5,6.0,192,18,26,3428,107,184,29995.0,1
2.9,6.0,268,19,26,3653,110,190,45210.0,1
4.2,6.0,275,15,20,4967,129,208,31849.0,1
1.6,4.0,103,29,33,2290,96,167,11839.0,0
4.6,8.0,275,18,26,3984,115,207,45445.0,1
3.1,6.0,175,20,30,3353,109,195,22180.0,0
2.2,4.0,143,21,26,3381,107,181,20585.0,0
4.6,8.0,239,17,25,4369,118,215,41815.0,1
5.0,8.0,288,14,17,4874,111,183,46470.0,1
1.8,4.0,180,20,28,3131,95,159,35940.0,1
3.3,6.0,180,17,20,3932,116,191,19479.0,0
2.0,4.0,160,26,30,2782,101,166,19490.0,0
5.0,8.0,302,16,24,4230,112,190,60670.0,1
3.0,6.0,235,18,26,3777,115,192,43895.0,1
2.4,4.0,157,24,33,3086,107,189,19560.0,0
3.5,6.0,205,18,25,3549,107,194,29282.0,1
2.3,4.0,250,19,29,3620,106,190,40845.0,1
3.2,6.0,215,19,26,3430,107,178,35920.0,1
3.5,6.0,265,20,28,3476,111,194,29440.0,1
1.4,4.0,93,46,51,2732,103,175,20140.0,0
4.6,8.0,224,17,25,4057,115,212,27370.0,0
3.5,6.0,240,17,22,4387,106,188,27560.0,0
3.0,6.0,212,19,26,3630,104,184,31545.0,1
3.5,6.0,255,18,27,3650,113,198,33295.0,1
2.3,4.0,155,24,29,2932,98,167,16497.0,0
6.0,8.0,300,13,17,4804,144,238,40340.0,1
4.5,8.0,340,14,18,4950,112,188,56665.0,1
1.6,4.0,104,26,33,2447,95,167,11905.0,0
3.0,6.0,201,18,23,3346,103,173,22515.0,0
2.5,5.0,208,20,27,3823,109,186,35145.0,1
4.2,8.0,450,15,22,4024,109,191,84600.0,1
3.2,6.0,193,17,21,3836,106,178,20449.0,0
2.2,4.0,140,26,37,2617,104,183,16385.0,0
2.0,4.0,132,29,36,2581,105,174,13670.0,0
5.5,8.0,493,14,21,4235,101,179,121770.0,1
2.2,4.0,140,26,35,2751,103,185,14850.0,0
3.8,6.0,215,18,25,4331,119,201,38380.0,1
